Rk,Player,Season,Pos,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,James Harden,2015-16,G,82,82,3125,710,1617,0.439,474,960,0.494,236,657,0.359,720,837,0.86,63,438,501,612,139,51,374,229,2376,21.9
2,Stephen Curry,2015-16,G,79,79,2700,805,1598,0.504,403,712,0.566,402,886,0.454,363,400,0.908,68,362,430,527,169,15,262,161,2375,24.6
3,James Harden,2014-15,G,81,81,2981,647,1470,0.44,439,915,0.48,208,555,0.375,715,824,0.868,75,384,459,565,154,60,321,208,2217,21.7
4,Kobe Bryant,2012-13,G-F,78,78,3013,738,1595,0.463,606,1188,0.51,132,407,0.324,525,626,0.839,66,367,433,469,106,25,287,173,2133,19.5
5,Kobe Bryant,Nov-10,G-F,82,82,2779,740,1639,0.451,625,1283,0.487,115,356,0.323,483,583,0.828,83,336,419,388,99,12,243,172,2078,17.2
6,Derrick Rose,Nov-10,G,81,81,3026,711,1597,0.445,583,1212,0.481,128,385,0.332,476,555,0.858,81,249,330,623,85,51,278,136,2026,18.7
7,James Harden,2012-13,G,78,78,2985,585,1337,0.438,406,851,0.477,179,486,0.368,674,792,0.851,62,317,379,455,142,38,295,178,2023,19.7
8,Dwyane Wade,Nov-10,G,76,76,2823,692,1384,0.5,629,1178,0.534,63,206,0.306,494,652,0.758,123,362,485,346,111,87,237,197,1941,19.5
9,Monta Ellis,Nov-10,G,80,80,3227,726,1611,0.451,589,1232,0.478,137,379,0.361,340,431,0.789,44,237,281,450,168,23,252,203,1929,16.5
10,Russell Westbrook,2012-13,G,82,82,2861,673,1535,0.438,576,1235,0.466,97,300,0.323,460,575,0.8,111,317,428,607,145,24,273,189,1903,17.8
11,Stephen Curry,2014-15,G,80,80,2613,653,1341,0.487,367,695,0.528,286,646,0.443,308,337,0.914,56,285,341,619,163,16,249,158,1900,20.4
12,Russell Westbrook,2014-15,G,67,67,2302,627,1471,0.426,541,1183,0.457,86,288,0.299,546,654,0.835,124,364,488,574,140,14,293,184,1886,21.6
13,Damian Lillard,2015-16,G,75,75,2676,618,1474,0.419,389,864,0.45,229,610,0.375,414,464,0.892,45,257,302,512,65,28,242,165,1879,17.6
14,Russell Westbrook,2015-16,G,80,80,2749,656,1444,0.454,555,1103,0.503,101,341,0.296,465,573,0.812,145,481,626,834,163,20,342,200,1878,20.9
15,Kevin Martin,Nov-10,G,80,80,2603,553,1267,0.436,377,808,0.467,176,459,0.383,594,669,0.888,28,230,258,198,80,15,184,155,1876,15.7
16,Stephen Curry,2013-14,G,78,78,2846,652,1383,0.471,391,768,0.509,261,615,0.424,308,348,0.885,46,288,334,666,128,14,294,194,1873,19.2
17,James Harden,2013-14,G,73,73,2777,549,1205,0.456,372,722,0.515,177,483,0.366,576,665,0.866,61,283,344,446,115,29,265,177,1851,19.6
18,DeMar DeRozan,2015-16,G,78,78,2804,614,1377,0.446,567,1238,0.458,47,139,0.338,555,653,0.85,64,285,349,315,81,21,175,167,1830,16.4
19,Isaiah Thomas,2015-16,G,82,79,2644,591,1382,0.428,424,917,0.462,167,465,0.359,474,544,0.871,46,197,243,509,91,9,220,167,1823,16.1
